filename,cluster_id,image_role,category,themes,suggested_title,description,confidence
574401405_844112901927110_3578228108610173548_n.jpg,P001,main,framed,trees,Apple Tree,"A vibrant quilled apple tree in a white shadow-box frame. The lush canopy is built from layered paper coils in varied greens, scattered with red accents that read as fruit. A richly textured dark brown trunk anchors the piece against a clean white background.",high
572366630_844112991927101_6791246251257769864_n.jpg,P001,angle,framed,trees,,,high
573870620_844112951927105_8247857202556119457_n.jpg,P001,angle,framed,trees,,,high
576856679_845256748479392_6515464683355803108_n.jpg,P002,main,homewares,patterns,Rainbow Quilled Bowl,"A decorative hand-rolled paper bowl in a full rainbow palette. The interior features a concentric rainbow disc at the base, surrounded by densely packed pastel coils of varying sizes. A joyful, sculptural piece.",high
573613223_845256885146045_3199169297507079303_n.jpg,P002,angle,homewares,patterns,,,high
577058459_845256698479397_107873805763907173_n.jpg,P002,angle,homewares,patterns,,,high
649163898_947980478207018_6118840036415227444_n.jpg,P003,main,clocks,patterns,Ocean Blue Clock,A circular wall clock with a quilled paper face in shades of blue and teal. The centre features a concentric spiral motif radiating outward into a ring of varied paper coils. Clean white hands.,high
649655506_947980728206993_2587345452890937586_n.jpg,P003,angle,clocks,patterns,,,high
649163738_947980844873648_6341002217181842510_n.jpg,P003,angle,clocks,patterns,,,low
650730409_950439067961159_3181145627542516236_n.jpg,P004,main,clocks,patterns,Earth Tones Clock,"A wall clock with a quilled paper face in warm earth tones - chocolate browns, soft creams, gold and black. The central spiral radiates outward through a ring of varied paper coils. Slim brass hands.",high
650295936_950439094627823_7683535244645234628_n.jpg,P004,angle,clocks,patterns,,,high
702190552_1006052452399820_275839004415883312_n.jpg,P005,main,clocks,"nursery,patterns",Rainbow Pencil Clock,"A playful children's wall clock with a quilled rainbow spiral face surrounded by colourful paper coils. The hour and minute hand are a coloured pencil and a small flower is the second hand. A bright, joyful design for a child's room or playroom.",high
571217164_839006289104438_4343864981302211493_n.jpg,P006,main,framed,birds,Superb Fairywren on Branch,"A male Superb Fairywren beautifully rendered in quilled paper, perched on a textured brown branch with green foliage. The bird's distinctive electric blue cap and cheek patches contrast with deep navy on the back and breast, while warm tan and cream tones detail the wing and underside. The long blue tail rises elegantly above the body. Presented in a clean white shadow-box frame.",high
571809438_839006249104442_1348904527047157445_n.jpg,P006,angle,framed,birds,,,high
573562170_839006205771113_4026188228972269984_n.jpg,P006,angle,framed,birds,,,high
559945186_826504067021327_7038662659427496024_n.jpg,P007,main,framed,birds,Three Wrens Triptych,"A triple-aperture white frame presenting three quilled Australian birds side by side: a Superb Fairywren in blue and chestnut, a Red-browed Finch with its distinctive red beak and eye-ring, and a Red-backed Fairywren in black with a vivid scarlet shoulder band. A study in native Australian songbirds.",high
560528302_826504120354655_7492226433939816210_n.jpg,P007,angle,framed,birds,,,high
561586969_826504143687986_1734988245679217123_n.jpg,P008,?drop,framed,birds,,"Studio shot of three loose unframed bird figures (Red-backed Fairywren, Superb Fairywren, Red-browed Finch) held in hand. Useful as 'maker process' content but doesn't correspond to a specific saleable product. Recommend dropping unless reused as a generic 'about my work' image.",medium
565625314_831990079806059_7624585327275259186_n.jpg,P009,main,framed,"birds,flowers",Pair of Fairywrens on Flowering Branch,A male Superb Fairywren and a female fairywren perched together on a flowering branch with delicate pink blossoms and green leaves. The male displays bold blue and chestnut plumage; the female is rendered in soft browns and creams with a coral beak and eye-ring. Presented in a deep white shadow-box frame.,high
565691188_831990236472710_3325965634728255065_n.jpg,P009,angle,framed,"birds,flowers",,,high
565706779_831990179806049_4791473815372955208_n.jpg,P009,angle,framed,"birds,flowers",,,high
537136205_782373744767693_988450180862035609_n.jpg,P010,main,framed,"birds,flowers",Red-backed Fairywren and Finch on Wattle,"A pair of Australian songbirds perched on a wattle branch: a male Red-backed Fairywren in black with a vibrant red shoulder band, and a Red-browed Finch with its distinctive red beak. The branch bursts with yellow wattle blossoms and green foliage. A celebration of native Australian flora and fauna in white shadow-box frame.",high
537211615_782373704767697_8723119560242286973_n.jpg,P010,angle,framed,"birds,flowers",,,high
487506917_660328426972226_9027904216801189779_n.jpg,P011,main,framed,"birds,australiana",Yellow-tailed Black Cockatoo,"A striking Yellow-tailed Black Cockatoo rendered in quilled paper, perched on a branch with deep green foliage. The bird's distinctive yellow cheek patch and intricately scalloped black-and-yellow plumage are beautifully detailed. The long banded tail trails dramatically below. Presented in a clean white shadow-box frame.",high
487355795_660328400305562_6716838854772958415_n.jpg,P011,angle,framed,"birds,australiana",,,high
487383098_660336736971395_6625864546172222463_n.jpg,P012,main,framed,"birds,australiana",Yellow-tailed Black Cockatoo (Pale),"A Yellow-tailed Black Cockatoo with softer grey-toned plumage and golden detailing, perched on a branch with paired green leaves. The yellow cheek patch and banded yellow tail remain prominent. A more muted variation of the cockatoo design, presented in a light oak frame with white matting.",high
487454238_660341026970966_1746331820781232494_n.jpg,P012,angle,framed,"birds,australiana",,,high
487382036_662630726741996_7985651347179161337_n.jpg,P013,main,framed,nursery,"Boho Rainbow, Sun and Clouds Triptych","A soft pastel nursery triptych in a single wide frame: an earth-toned rainbow on the left, a peachy sun with multicolour rays in the centre, and a peach cloud raining tiny multicolour hearts on the right. Warm, muted palette perfect for a modern nursery or child's room.",high
488223353_662630960075306_7898016995059649860_n.jpg,P013,angle,framed,nursery,,,high
487489494_660385536966515_6022344959532709430_n.jpg,P014,main,framed,"insects,australiana",Blue Banded Bee,"A scientifically-styled framed quilled paper rendering of the Australian native Blue Banded Bee (Amegilla cingulata), featuring detailed gold-bronze body work, translucent layered wings, and the species' distinctive electric blue abdominal stripes. Includes a scientific name plaque. A natural history specimen aesthetic in a deep black shadow-box frame.",high
487388945_660385570299845_9070617275818135001_n.jpg,P014,angle,framed,"insects,australiana",,,high
487307972_660385730299829_57011962994083252_n.jpg,P014,angle,framed,"insects,australiana",,,high
487734024_659829317022137_8030239463830447453_n.jpg,P015,main,framed,animals,Minimalist Kitten Pair,"A pair of black-and-white quilled cat portraits in matching black frames. Each shows a different kitten pose in a clean single-line silhouette style - one calm and seated, one playful with raised paw. Sold as a pair; perfect as a hallway grouping or for a cat-loving home.",high
487731648_660378303633905_8246154734174815799_n.jpg,P016,main,framed,patterns,Rainbow Heart (Two Sizes Available),"A heart-shaped composition built entirely from tightly rolled pastel paper coils in a full rainbow spectrum. Shown here in two size options - a large square frame and a smaller version. A vibrant, joyful piece suitable as a feature wall artwork or a gift. See also P117 (Rainbow Hearts in a Heart) for a variant using dimensional quilled hearts instead of rolled coils.",high
487761120_660378306967238_2993293726567504586_n.jpg,P016,angle,framed,patterns,,,high
487512518_660378186967250_5115891149321948442_n.jpg,P016,angle,framed,patterns,,,medium
487322585_660388410299561_1072532538729128618_n.jpg,P017,main,framed,insects,Praying Mantis,A vibrant green praying mantis rendered in quilled paper with delicate striped detailing in green and warm brown. The classic raised-forelegs pose is captured precisely. Presented in a deep black shadow-box frame for a natural history specimen feel.,high
495337502_10236084560830000_3836875900741279643_n.jpg,P018,?drop,framed,"animals,flowers","Studio Composite (Cat, Love Card, Sunflower)","Studio photograph showing three separate products side by side: a black filigree-style sitting cat in a light oak frame, a handmade 'Love' greeting card with a quilled balloon-and-bear motif, and a quilled sunflower in a white shadow-box frame. These are three distinct products that need their own individual product photos before being catalogued.",medium
468553542_566616623010074_7477544737261507112_n.jpg,P019,main,cards,patterns,Filigree Heart Valentine's Card,A handmade Valentine's card featuring a quilled red heart with intricate spiral filigree on one side and smooth layered loops on the other. Topped with a 'Happy Valentine's Day' label. Comes with a coordinating red envelope. Internal wording can be customised on request.,high
468627384_566616579676745_5254118497291871403_n.jpg,P019,angle,cards,patterns,,,high
468553884_566616593010077_3675399877026153519_n.jpg,P019,angle,cards,patterns,,,high
468850402_566616583010078_5224431271901482040_n.jpg,P019,angle,cards,patterns,,,high
468737127_566616586343411_5090829734432468688_n.jpg,P019,?drop,cards,patterns,,Inventory/component shot showing four loose mini quilled hearts beside a Valentine's title card. Likely a behind-the-scenes photo rather than a finished product. Recommend dropping unless reused as 'about my process' content.,medium
468808925_566616576343412_3502557644451016371_n.jpg,P020,main,cards,"flowers,patterns",Leaf Wreath Heart Card,"A handmade card featuring a heart-shaped wreath built from delicate red leaves and tiny white quilled accents. A more botanical, romantic take on the classic Valentine's heart. Topped with a 'Happy Valentine's Day' label. Comes with a coordinating envelope. Internal wording can be customised on request.",high
468625455_566616589676744_3714685263671645451_n.jpg,P020,angle,cards,"flowers,patterns",,,high
468553144_566616713010065_2652722592287787165_n.jpg,P021,main,cards,patterns,Swirl Heart Card,A handmade card featuring a quilled pink-and-white heart formed from elegant curved swirls meeting at a single point. Mounted on a deckle-edged white panel against a deep red background. Topped with a 'Happy Valentine's Day' label and coordinating envelope. Internal wording can be customised on request.,high
468703680_566616726343397_4228580544437722246_n.jpg,P021,angle,cards,patterns,,,high
